;id;word;description;language;word2
1;1;schnappsidee;An idea so stupid the person must have thought of it while drunk; German;schnappsidee
2;2;forelsket;The euphoria you feel when you're first falling in love.; Norwegian;forelsket
3;3;treppenwitz;"Literal: ""staircase joke"", because the witty retort usually hits you in the stairwell on your way out"; German;treppenwitz
4;4;yugen;A profound, mysterious sense of the beauty of the universe…and the sad beauty of human suffering.; Japanese;yugen
5;5;weltschmerz;A feeling of melancholy and world-weariness; German;weltschmerz
6;6;bixomets;Shame on behalf of others; Catalan;bixomets
7;7;siwon;Usually meanng cool or cold, but when used in the context of dining, means the taste which achieves the ideal umami such that the food feels cool; Korean;siwon
8;8;schilderwald;"Jungle of traffic signs; a street so crowded with signs that you become lost"; German;schilderwald
9;9;kuidare;To eat yourself into backruptcy; Japanese;kuidare
10;10;schadenfreude;To be happy when things go wrong for someone else; German;schadenfreude
11;11;saper;"The ability to handle people and situations with charm, diplomacy and verve; cf. savior faire (French)."; Italian;saper vivere
12;12;eunoia;"A well-mind; beautiful thinking"; Greek;eunoia (εὔνοια)
13;13;njuta;to deeply enjoy, to profoundly appreciate.; Swedish;njuta
14;14;greng-jai;The feeling of not wanting to impose; Thai;greng-jai
15;15;anteayer;The day before yesteraday; Spanish;anteayer
16;16;yokomeshi;"Literal: ""meal eaten sideways""; the stress caused by speaking a foreign language"; Japanese;yokomeshi
17;17;mamihlapinatapai;Two people looking at each other each hoping the other will do what both desire but neither is willing to do.; Yaghan;mamihlapinatapai
18;18;pneúma;"Wind; breath; spirit."; Greek;pneúma (πνεῦμα)
19;19;vergüenza;Shame or embarrassment felt as a result of the actions of others; Spanish;vergüenza ajena
20;20;chutzpah;Insolence, cheek, audacity. Commonly used to describe someone when they have crossed the line of acceptable behavior; Yiddish;chutzpah
21;21;abquatulate;To leave without saying goodbye; English;abquatulate
22;22;beschaulich;"Quiet, pensive; living a simple life; pleasantly contemplative, unhurried in a fashion that inspires mental well-being."; German;beschaulich
23;23;załatwić;To make something which is very complicated somehow simpler in an entrepreneurial and cheeky way; Polish;załatwić
24;24;enxebre;Something pure and very authentic; Galician;enxebre
25;25;desenrascar;An informal word that means the act of figuring out things; Portuguese;desenrascar
26;26;empalagada;How you feel after having something too sweet; Spanish;empalagada
27;27;torschlusspanik;The fear that time is running out on achieving life goals; German;torschlusspanik
28;28;zapoi;2+ days of drunkenness usually involving a journey or waking up in an unexpected place; Russian;zapoi
29;29;lieko;A tree trunk that has fallen to the bottom of a lake; Finnish;lieko
30;30;gretchenfrage;A direct question with the intention of unveiling the underlying thoughts of the person being questioned; German;gretchenfrage
31;1;eudaimonia;The contented happy state you feel when you travel; Greek;eudaimonia
32;2;vprikusku;Drinking tea through pieces of sugar; Russian;vprikusku
33;3;milozvučan;Having a sweet and gentle voice; Croatian;milozvučan
34;4;amaeru;To seek affection through doing things like clinging or pleading; Japanese;amaeru
35;5;kæk;Spirited, bold, cheeky, cocky.; Danish;kæk
36;6;dadirri;Inner, deep listening and quiet, still awareness out of respect.; Ngangiwumirr;dadirri
37;7;débrouille;May be synonymous with resourceful, but it is more of a way of living by making do with little and improvising with what you have; French;débrouille
38;8;latah;Uncontrollable habit of saying embarrassing things; Indonesian;latah
39;9;toska;At its deepest and most painful, it is a sensation of great spiritual anguish, often without any specific cause.; Russian;toska (тоска)
40;10;layogenic;Good looking from a distance; Tagalog;layogenic
41;11;sielvartas;Literal translation as “soul tumbling” used as grief or resentment; Lithuanian;sielvartas
42;12;épater;To shock the middle classes; French;épater les bourgeois
43;13;capicua;A number that doesn't vary if the numbers are inverted. Also it can be called a palindrome, but the word capicua refers especially to the numbers; Catalan;capicua
44;15;handschuhschneeballwerfer;"A person who wears gloves to throw snowballs; a wimp"; German;handschuhschneeballwerfer
45;16;resfeber;"Travel fever/bug; the feeling of excitement and nervousness experienced by a traveller before undertaking a journey."; Swedish;resfeber
46;17;fensterln;To visit a girl who you fancy either by coming to her window or climbing through it to see her; German;fensterln
47;18;volta;During certain hours of the early evening, around dusk, everyone in the town who might feel like going for a walk takes a saunter or stroll up and down the main street; Greek;volta
48;19;cafuné;Tenderly running your fingers through your lover's hair; Portuguese;cafuné
49;20;hikikomori;Reclusive adolescents or adults who withdraw from social life, often seeking extreme degrees of isolation and confinement; Japanese;hikikomori
50;21;seigneur-terrasse;Someone who spends time, but not money, at a café; French;seigneur-terrasse
51;22;chrysalism;An amniotic tranquility of being indoors during a thunderstorm.; English;chrysalism
52;23;guanxi;An intimate connection between people which would benefit from the other in solving delicate problems or in achieving personal goals; Chinese;guanxi (关系)
53;24;nameer;Clear water.; Arabic;nameer (نمير)
54;25;weemoed;"Lit. sadness, woe (wee) courage, daring, mood (moed); soft mood; light melancholy; having the strength to overcome a feeling of sorrow (e.g., arising in relation to nostalgia)."; Dutch;weemoed
55;26;sankocha;The feeling of embarrassment due to receiving an inordinate or extravagent gift/favor, making you feel as though you need to return a favor that you can't; Kannada;sankocha
56;27;nadryv;"Literally means ""to tear or break"", but can also mean the inner tension of someone who is about to break"; Russian;nadryv (надрыв)
57;29;jhoota;Food eaten by someone and left in the plate; Hindi;jhoota
58;30;shinrin-yoku;bathing' in the forest (literally and/or metaphorically).; Japanese;shinrin-yoku (森林浴)
59;1;l’ecole;"Literally ""to eat motives""; describing a person that loves drama"; Yiddish;l’ecole stratim (לאכול סרטים)
60;2;mysa;"Can mean ""cosying up"" or ""to snuggle"", but in braoder sense, it means to ""have a nice and relaxed time"""; Swedish;mysa
61;3;didis;To search and pick up lice from one's own hair, usually when in bed at night; Indonesian;didis
62;4;vozdukh;"""Air"" but also ""the stack of spirit"". To breathe in is to ""take the spirit inside""."; Russian;vozdukh (воздух)
63;5;athazagoraphobia;The fear of forgetting, being forgotten or ignored, or being replaced; English;athazagoraphobia
64;6;parea;A group of friends who regularly gather together to share their experiences about life, their philosophies, values and ideas.; Greek;parea
65;7;filotimo;A friend of honour, but it also implies dignity, pride, sacrifice and respect; Greek;filotimo
66;9;tokimeki;"Excitement; Feeling of bliss or joy from a discrete experience"; Japanese;tokimeki ときめき
67;10;friolero;Someone that is very sensitive to cold. That friend that always feel cold.; Spanish;friolero
68;11;qì;Quality of character, disposition, style, charm, attractiveness, magnetism.; Chinese;qì zhì (氣质)
69;12;şırış;Mucus or the sweet sugary residue from fruits or other treats; Nogay;şırış
70;14;tretår;A second refill or “threefill” of coffee; Swedish;tretår
71;15;onsay;Pretend to love; Boro;onsay
72;16;ubuntu;"A quality that includes the essential human virtues; compassion and humanity."; Zulu;ubuntu
73;17;ser/estar;The verb 'to be' is two different verbs in Spanish. Ser is 'what you are' and estar is 'how you are/where you are'; Spanish;ser/estar
74;18;yuputka;A word made for walking in the woods at night, it’s the phantom sensation of something crawling on your skin; Ulwa;yuputka
75;19;kos;"Cosiness, warmth, intimacy; kose as a verb; koselig as an adjective."; Norwegian;kos
76;20;fachidiot;Someone who knows a great deal about a very narrow subject; German;fachidiot
77;21;pochemuchka;A person who asks a lot of questions; Russian;pochemuchka
78;22;biritululo;The act of comparing yams to settle a dispute; Kiriwani;biritululo
79;23;pretoogjes;"Lit. 'fun eyes'; the twinkling eyes of someone engaging in benign mischief or fun."; Dutch;pretoogjes
80;24;lus;"Desire, craving; greed; fancy, cupidity; inclination, tendency."; Afrikaans;lus
81;25;carpe;Make the most of the present moment or opportunity. Lit. sieze the day.; Latin;carpe diem
82;26;ômä;Collective helping; Bashkir;ômä (өмә)
83;27;fika;Drinking coffee along with eating something sweet; Swedish;fika
84;29;jibaku;The act of unintentionally or inadvertently demolishing your own argument in the process of defending your view; Japanese;jibaku
85;1;warmduscher;"Literal: 'A person that takes warm showers'; to describe those who have trouble stepping out of their comfort zone"; German;warmduscher
86;2;umami;"A category of taste in food (besides sweet, sour, salt, and bitter); savoriness"; Japanese;umami
87;4;badkruka;Someone who refuses to enter a body of water. Eg. Get in the lake you badkruka, or am I going to have to pull you in by your beard?; Swedish;badkruka
88;6;fahrvergnügen;The love of simply driving; German;fahrvergnügen
89;7;boketto;The act of gazing vacantly into the distance.; Japanese;boketto
90;8;desenrascanço;the ability to find improvised solutions to problems; Portuguese;desenrascanço
91;9;klexos;"the art of dwelling on the past; coined by John Koenig."; English;klexos
92;12;házisárkány;"Literally ""indoor dragon""; a nagging restless spouse"; Hungarian;házisárkány
93;14;shalom;"peace, harmony, wholeness, prosperity, welfare and tranquillity; used also as a greeting/parting salutation."; Hebrew;shalom (שָׁלוֹם)
94;15;sgriob;The itchiness of the upper lip just before taking a sip of whisky; Irish;sgriob
95;16;mangomoment;"""What can I do now for you, to make you happy?"""; Dutch;mangomoment
96;17;punya;"“Merit,” “virtue”, “sacred"", ""good karma"", among other things"; Sanskrit;punya
97;19;angushti;Someone with six fingers; Russian;angushti za'id
98;20;on;A feeling of moral indebtedness, relating to a favour or blessing given by others.; Japanese;on (恩)
99;21;queesting;Inviting a lover into your bed for some pillow talk; Dutch;queesting
100;22;livsnjutare;Someone who loves life deeply; Swedish;livsnjutare
101;23;moņ;"Sadness; melody; lyricism"; Bashkir;moņ (моң)
102;24;empalagoso;Too sweet. Adjective to say you ate something so sweet that you got sick of it.; Spanish;empalagoso
103;25;débrouillardise;"Quality of someone who is resourceful and lives with the ability to creatively improvise; someone who can make do and solve problems without much"; French;débrouillardise
104;26;manja;Childlike behaviour by women designed to elicit sympathy or pampering by men; Malay;manja
105;27;abhayamudrâ;"The gesture (e.g., in Hindu and Buddhist iconography) of fearlessness, protection, and/or peace; involves the palms facing outwards, and the fingers extending upwards."; Sanskrit;abhayamudrâ (अभय मुद्रा)
106;28;magari;maybe, hopeful wish, wistful regret, in my dreams, if only.; Italian;magari
107;29;donaldkacsázás;Translated as “Donald ducking” or wandering around one’s house with a shirt but no trousers; Hungarian;donaldkacsázás
108;30;sumud;steadfastness, a determined struggle to persist.; Arabic;sumud (صمود)
109;1;putzfimmel;Adjective for someone who is obsessed with cleaning; German;putzfimmel
110;2;consuegro;Father in law of your son; Spanish;consuegro
111;3;retrouvailles;"Lit. 'rediscovery'; a reunion (e.g., with loved ones after a long time apart)."; French;retrouvailles
112;4;jein;Yes and no; German;jein
113;6;ta'arof;The complicated set of niceties and social rules to be observed as a form of good manners and proper etiquette; Persian;ta'arof (تعارف)
114;7;otium;"The condition of being in control of one’s own time; leisure, free-time; ease, peace."; Latin;otium
115;8;umij;Splash water on your face; Serbian;umij se
116;9;zechpreller;A person who leaves a restaurant without paying; German;zechpreller
117;10;startijenn;"A kickstart/boost of energy; also denotes perseverance."; Breton;startijenn
118;14;uḷaṟu;To say something that should not be or to say somethng nonsensical or unrelated; Tamil;uḷaṟu (உளறு)
119;15;pekopeko;Bowing one's head repeatedly in a grovelling manner; Japanese;pekopeko
120;16;ellipsism;A sadness that you'll never be able to know how history will turn out; English;ellipsism
121;17;tatemae;The contrast between a person's feelings and desires (honne) versus the behavior and opinions one displays in public (tatemae); Japanese;tatemae & honne
122;18;feierabend;End of the work day; German;feierabend
123;19;cavoli;"Literally ""reheated cabbage""; When you attempt to start up a failed relationship or love affair"; Italian;cavoli riscaldati
124;20;nodus;The realization that the plot of your life doesn't make sense to you anymore.; English;nodus tollens
125;21;kenshō;"Seeing (ken) one’s nature or essence (shō); perceiving one’s Buddha nature; sometimes interpreted as an initial or brief awakening."; Japanese;kenshō (見性)
126;23;nintendo;“Leave luck to heaven” or to leave one's fortune in the hands of fate; Japanese;nintendo
127;24;spätzünder;A person who needs a long time to understands sth/ so who makes belated progress of personal development; German;spätzünder
128;26;vemödalen;The fear that everything has already been done. For example: the frustration of photographing something amazing when thousands of identical photos already exist.; English;vemödalen
129;27;kopfkino;"Imagining scenarios vividly (""head cinema"")"; German;kopfkino
130;28;hoʻoponopono;Mutual forgiveness.; Hawaiian;hoʻoponopono
131;29;verschlimmbesserung;An attempt at improvement that makes things worse than they already were; German;verschlimmbesserung
132;1;salām;"Peace, harmony, wholeness, prosperity, welfare and tranquillity; used also as a greeting/parting salutation."; Arabic;salām (سلام)
133;2;saudade;melancholic longing, nostalgia, dreaming wistfulness.; Portuguese;saudade
134;3;dygn;"Day and night; 24 hours"; Swedish;dygn
135;4;mahj;Looking beautiful after having a disease; Tamil;mahj
136;5;adronitis;Frustration with how long it takes to get to know someone; English;adronitis
137;6;overskud;"Extra/excess energy; do have sufficient resources to do something; profit (in an economic context)."; Danish;overskud
138;7;tingo;The act of taking objects one desires from the house of a friend by gradually borrowing all of them; Pascuense;tingo
139;9;mitonner;Cooking with passion; French;mitonner
140;12;haiku;A form of Japanese poetry, usually just 17 syllables long (with lines of 5, 7, and 5 syllables), involving the sudden juxtapositions of ideas or images, and often focused on natural (e.g., seasonal) phenomena.; Japanese;haiku (俳句)
141;14;gezelligheid;Coziness, fun, the general togetherness that gives people a warm feeling.; Dutch;gezelligheid
142;15;schulbildend;Inspiring or leading to the creation of schools of thought.; German;schulbildend
143;16;querencia;A place from which one's strength is drawn, where one feels at home, the place where you are your most authentic self; Spanish;querencia
144;17;chai-pani;"Literal: ""tea and water""; the money and favors given to someone to get things done"; Hindi;chai-pani
145;18;rén;"Humanity, benevolence; the positive feeling enjoyed by a virtuous person through altruistic behaviour."; Chinese;rén (仁)
146;20;noroke;To brag about or sing the praises of the person you love; Japanese;noroke
147;21;sitzfleisch;"Having ""Sitzfleisch"": being persistent enough to complete a tough or big task"; German;sitzfleisch
148;22;lepos;Charm, grace, wit, elegance, allure.; Latin;lepos
149;23;shemomechama;To keep eating past the point of being full since the food tastes so good.; Georgian;shemomechama (შემომეჭამა)
150;26;koev;"Literally ""my head hurts"", but used to convey empathy for someone's suffering"; Yiddish;koev li halev (כואב לי הלב)
151;29;innerer;"Literal: 'Inner pig dog'; the lazy voice in your head. It symbolizes the part of you that doesn’t want to go jogging, that prefers staying at home with chocolate and pizza and is just generally lazy."; German;innerer schweinehund
152;30;l'esprit;Thinking of the perfect reply after the conversation is over.; French;l'esprit de l'escalier
153;1;serendipity;The development of events by chance that result in a beneficial way; Tamil;serendipity
154;4;voetstoots;A sale where the thing is sold as is or with all its faults without any guarantees; Afrikaans;voetstoots
155;5;énouement;The bittersweetness of having arrived in the future, seeing how things turn out, but not being able to tell your past self.; French;énouement
156;6;metanoia;The journey of changing ones mind, heart, self, or way of life; English;metanoia
157;9;anima;"Soul; spirit; breath; mind"; Latin;anima
158;11;vypendrivatsja;To behave in a way that makes one look more important or special than one is, to ride the high horse, to show off; Russian;vypendrivatsja (выпендриваться)
159;12;tachiyomi;To stand in a bookstore and read a book without buying it; Japanese;tachiyomi
160;14;mauri;The essence that animates something living, but not human; Māori;mauri
161;16;sisu;Extraordinary determination in the fact of adversity; Finnish;sisu
162;17;abhisar;"Lit. 'going towards'; a meeting (often secret) between lovers / partners."; Bengali;abhisar (অভিসার)
163;18;schnapsidee;An idea you have when you're drunk and will probably not considered anymore once you're sober; German;schnapsidee
164;19;kulturbärare;"Lit. culture-bearer or culture-carrier; a phenomenon (e.g., person or idea) that upholds a culture and/or moves it forward."; Swedish;kulturbärare
165;20;orphic;"Mysterious and entertaining; beyond ordinary understanding"; English;orphic
166;21;mu;Not one, not zero, not yes, not no; Japanese;mu (無)
167;23;myötähäpeä;Secondhand embarrassment; Finnish;myötähäpeä
168;24;formacja;A state of mind and its own culture of a generation; Polish;formacja
169;26;s’encoubler;To describe a fall, but specifically one where you fell due to being tangled in something; French;s’encoubler
170;27;luftmensch;"Literal: ""air person"". Refers to someone who is a bit of a dreamer"; Yiddish;luftmensch
171;29;krawattenmuffel;Someone who'd rather not wear a tie; German;krawattenmuffel
172;30;talkoot;"a collectively pursued/undertaken task; voluntary community work."; Finnish;talkoot
173;2;pole;"Sorry; can also express empathy and understanding."; Swahili;pole
174;5;zhì;Wisdom, perspicacity, knowledge.; Chinese;zhì (智)
175;7;occhiolism;The awareness of the smallness of your perspective; English;occhiolism
176;8;nakhur;A camel that won't give milk until her nostrils have been tickled; Tamil;nakhur
177;9;konfliktfähigkeit;the ability to manage interpersonal conflict constructivly, without becoming personally involved.; German;konfliktfähigkeit
178;11;mensch;A person of integrity and honour; Yiddish;mensch
179;15;sturmfrei;Having the house or flat to oneself; German;sturmfrei
180;16;spannungsbogen;A sequence of events which build up suspense and/or tension; German;spannungsbogen
181;17;celístia;Brighness from the stars; Catalan;celístia
182;18;fingerspitzengefühl;"Literal: “finger tips feeling"", but means an intuitive feel or to have one's finger on the pulse"; German;fingerspitzengefühl
183;19;dépayser;"Disorientation; not necessarily unpleasant (e.g., a pleasant sense of strangeness from being in a foreign country)."; French;dépayser
184;20;merak;A feeling of bliss and the sense of oneness with the universe that comes from the simplest of pleasures. It is the pursuit of small, daily pleasures that all add up to a great sense of happiness and fulfillment.; Serbian;merak
185;21;apapachar;Pamper a person especially when she or he is sad; Spanish;apapachar
186;24;vellichor;The strange wistfulness of used bookshops; English;vellichor
187;25;hanyauku;To walk on tiptoes across a hot surface; Rukwangali;hanyauku
188;27;anánkē;destiny, fate, necessity.; Greek;anánkē (ανάγκη)
189;28;kyoiku;A mother who relentlessly pushes her children toward academic achievement; Japanese;kyoiku mama
190;29;mokita;The truth we all know but agree not to talk about.; Kilivila;mokita
191;30;rabenmutter;"A bad mom (""raven mother"")"; German;rabenmutter
192;2;tüddelig;Sweet, elderly, and senile; German;tüddelig
193;4;ramé;Something that is both chaotic and joyful at the same time; Indonesian;ramé
194;7;friluftsliv;“Free air life,” signifying a fundamental understanding of the positive impact of being in nature; Norwegian;friluftsliv
195;8;kintsukuroi;To repair with gold. Understanding that a piece is more beautiful for having broken.; Japanese;kintsukuroi
196;9;verklempt;Completely overcome with emotion; Yiddish;verklempt
197;10;dhurna;Extorting payment from someone by sitting at their front door and staying there until you get paid; Hindi;dhurna
198;11;lítost;Sate of agony and torment created by the sudden sight of one’s own misery.; Czech;lítost
199;12;víðsýni;"A panoramic view; open-mindedness."; Icelandic;víðsýni
200;13;desir;The sound of sand driven by the wind; Malay;desir
201;14;qì;"Lit. air, breath; ‘life force/energy’."; Chinese;qì (氣)
202;15;gulugulu;The sound of a pitcher filling with water; Tulu;gulugulu
203;16;abditory;"A place into which you can disappear; a hiding place"; English;abditory
204;17;weiche;"Literal: ""soft egg""; someone who is weak or cowardly"; German;weiche
205;18;iktsuarpok;The feeling of anticipation that leads you to keep looking outside to see if anyone is coming.; Inuktitut;iktsuarpok
206;19;pålegg;Anything that you can put in a sandwich; Norwegian;pålegg
207;20;prozvonit;To call a mobile phone and let it ring once so that the other person will call back, saving the first caller money.; Czech;prozvonit
208;22;être;To be in an environment you're not used to; French;être dépaysé
209;24;flâner;verb. to purposely wander, to decide to explore with no final destination.; French;flâner
210;25;sayang;Describes when you've wasted an opportunity; Tagalog;sayang
211;26;panapoo'o;The act of searching your head in order to help you remember something you have forgotten.; Hawaiian;panapoo'o
212;27;palla;To steal fruit off trees; Swedish;palla
213;28;yaqin;Certitude and freedom from doubt.; Arabic;yaqin (يقين)
214;30;chimak;Chicken and beer; Korean;chimak
215;2;umay;Gettiing tired of a certain food; Tagalog;umay
216;3;buksvåger;"Literally means ""abdomen brothers-in-law""; used for two men who have slept with the same woman"; Swedish;buksvåger
217;5;ikigai;"A reason for being; the thing that gets you up in the morning."; Japanese;ikigai
218;6;viraag;The emotional pain felt from being away from the person you love; Hindi;viraag
219;7;mencomot;Stealing things of small value, mostly for fun rather than out of necessity.; Indonesian;mencomot
220;8;cāral;A gentle secondary drizzle either from a waterfall or rain; Tamil;cāral (சாரல்)
221;10;nja;"Combining no (nej) and yes (ja); neither yes or no (or both yes and no); expressing uncertainty."; Swedish;nja
222;11;arlésienne;Used to describe people who are at the centre of a conversation/situation/problem but can’t be found anywhere; French;arlésienne
223;12;avspasere;To take a day (or more) off from work (e.g., because one has previously worked overtime and has built up credit).; Norwegian;avspasere
224;13;luscofusco;Time of nightfall, just with the last ray of Sun; Galician;luscofusco
225;15;baadastoor;Unaltered, or unchanged, for something that is habitual; Urdu;baadastoor
226;16;dreikäsehoch;A small child who is as tall as three wheels of cheese stacked upon one another; German;dreikäsehoch
227;17;vipāka;"Ripening; the result, ripening or maturation of karma."; Sanskrit;vipāka (विपाक)
228;20;fargin;To wholeheartedly appreciate the success of others; Yiddish;fargin
229;23;schlimazel;A chronically unlucky person; Yiddish;schlimazel
230;24;abbiocco;The feeling of falling asleep after lunch or dinner; Italian;abbiocco
231;26;chingada;An imaginary, horrible place where you send all those who annoy you; Spanish;chingada
232;27;xiao;The whistling and pattering of rain or wind; Chinese;xiao xiao
233;28;tîeow;To wander or roam around in a carefree way.; Thai;tîeow (เที่ยว)
234;2;maktub;"""Everything is destined and written"""; Arabic;maktub
235;3;zanshin;"Lit. ‘remaining/enduring heart-mind’; a state of relaxed mental alertness (especially in the face of danger or stress)."; Japanese;zanshin (残心)
236;4;offing;"The deep, distant stretch of the ocean that is still visible from the land; the foreseeable future"; English;offing
237;5;talaka;Every member of a neighborhood getting together to do a work for free for a poor member of their community; Nogay;talaka
238;6;autophile;A person that loves solitude, being alone; English;autophile
239;8;trepverter;A witty comeback you think of only when it’s too late to use; Yiddish;trepverter
240;9;ukiyo;The floating world - living in the moment, detached from the bothers of life; Japanese;ukiyo
241;10;ǩuẓlanyu;To marry a divorced woman; Bashkir;ǩuẓlanyu
242;13;ḥôjônsô;Good news for which a reward is given; Bashkir;ḥôjônsô (һөйөнсө)
243;14;anchorage;The desire to make time stand still; English;anchorage
244;15;obhimaan;Anger, or something close to it, at being upset with a loved one. Abhiman is not anger or sorrow. It is a temporary expression of a feeling about a loved one that he or she is supposed to address.; Bengali;obhimaan (অভিমান )
245;16;voorpret;That feeling of excitement you get even before an event actually takes place. Literally translates to “pre-fun.”; Dutch;voorpret
246;19;uitwaaien;To take a refreshing break outdoors in windy weather; Dutch;uitwaaien
247;21;mono;The bittersweetness of a brief and grading moment of transcendent beauty.; Japanese;mono no aware
248;22;fuubutsushi;The things – feelings, scents, images – that evoke memories or anticipation for a particular season.; Japanese;fuubutsushi
249;24;fanaa;Used in a romantic, and spiritual sense. It could also mean breaking free, escaping ego, dying while your material body hasn’t; Urdu;fanaa (فناء)
250;27;ayurnamat;The philosophy that there is no point in worrying about events that cannot be changed; Inuktitut;ayurnamat
251;29;ennui;A feeling of being bored and mentally tired caused by having nothing interesting or exciting to do; English;ennui
252;3;madrugada;The time of day occurring between past midnight and early morning; Spanish;madrugada
253;4;mágoa;A heart-breaking feeling that leaves long-lasting traces, visible in gestures and facial expressions; Portuguese;mágoa
254;6;yoroshiku;Favorably, please.; Japanese;yoroshiku onegai shimasu
255;8;nostalgie;"A yearning for degradation, depravity, or other crude/base aspects of life, literally ""a yearning for mud"""; French;nostalgie de la boue
256;9;psithurism;The sound of wind through trees; English;psithurism
257;11;trasnochar;To stay up all night; Spanish;trasnochar
258;14;tulak;"Pretending to dislike something, when it reality you actually like it. Literal translation, ""push of the mouth, pull (drawing closer to self) of the chest""."; Tagalog;tulak ng bibig, kabig ng dibdib.
259;16;riposo;"Rest, repose; a nap; cf. siesta."; Italian;riposo
260;20;kabelsalat;"Tangled up cables; literally “cable-salad"""; German;kabelsalat
261;21;þetta;it will all work out ok' (used especially when things don't look optimistic!).; Icelandic;þetta reddast
262;22;petrichor;The smell of earth after rain; English;petrichor
263;24;fisselig;Being flustered to the point of incompetence; German;fisselig
264;25;hoppilandkalle;Guy who jumps to dry land to moor a boat; Swedish;hoppilandkalle
